mean,median,sd,max,min,day,AIS
4.578680203,4,3.843912798,25,0,39,AIS D
6.956730769,5,6.158921511,41,0,40,AIS A
8.010416667,6,6.364980749,33,0,40,AIS B
6.991304348,5,6.128885937,35,0,40,AIS C
4.47715736,4,3.781768299,25,0,40,AIS D
7.008012821,5,6.225428094,42,0,41,AIS A
8.067708333,6,6.393763237,34,0,41,AIS B
7.039130435,5,6.175966882,35,0,41,AIS C
4.472081218,4,3.83930827,25,0,41,AIS D
7.040064103,5,6.25975943,42,0,42,AIS A
8.09375,6,6.31805876,33,0,42,AIS B
7.056521739,5,6.241243724,35,0,42,AIS C
4.512690355,4,3.800656679,24,0,42,AIS D
7.052884615,5,6.28882864,41,0,43,AIS A
8.161458333,6,6.374850287,33,0,43,AIS B
7.030434783,5,6.226014923,35,0,43,AIS C
4.52284264,4,3.847307041,25,0,43,AIS D
7.064102564,5,6.29701398,41,0,44,AIS A
8.104166667,6,6.418199201,33,0,44,AIS B
7.07826087,5,6.374276671,37,0,44,AIS C
4.532994924,4,3.868393336,24,0,44,AIS D
7.049679487,5,6.273777875,39,0,45,AIS A
8.182291667,6,6.550896103,32,0,45,AIS B
7.104347826,5,6.336797523,37,0,45,AIS C
4.629441624,4,3.89659011,24,0,45,AIS D
6.503205128,4,6.337484803,39,0,46,AIS A
7.635416667,5,6.577161487,33,0,46,AIS B
6.652173913,5,6.415107004,38,0,46,AIS C
4.16751269,3,3.803510785,24,0,46,AIS D
6.493589744,4,6.368811239,40,0,47,AIS A
7.6875,6,6.611607277,34,0,47,AIS B
6.7,5,6.443676024,40,0,47,AIS C
4.16751269,3,3.775236228,24,0,47,AIS D
6.520833333,4,6.396694718,39,0,48,AIS A
7.729166667,6,6.594427549,34,0,48,AIS B
6.726086957,5,6.339638756,35,0,48,AIS C
4.258883249,3,3.833124261,23,0,48,AIS D
6.514423077,4,6.376354568,41,0,49,AIS A
7.770833333,6,6.527395617,33,0,49,AIS B
6.708695652,5,6.418954808,35,0,49,AIS C
4.299492386,3,3.788630918,22,0,49,AIS D
6.519230769,4,6.397954282,43,0,50,AIS A
7.671875,5,6.598559308,33,0,50,AIS B
6.673913043,5,6.429511475,36,0,50,AIS C
4.182741117,3,3.761663033,21,0,50,AIS D
6.554487179,4,6.438765451,41,0,51,AIS A
7.708333333,6,6.639429526,34,0,51,AIS B
6.730434783,5,6.564855136,38,0,51,AIS C
4.228426396,3,3.747598423,20,0,51,AIS D
6.58974359,4,6.429138918,41,0,52,AIS A
7.723958333,6,6.691547294,33,0,52,AIS B
6.752173913,5,6.597893641,37,0,52,AIS C
4.223350254,3,3.79861185,20,0,52,AIS D
7.076923077,5,6.434795522,41,0,53,AIS A
8.21875,6,6.674485489,33,0,53,AIS B
7.286956522,5,6.634257023,37,0,53,AIS C
4.654822335,4,3.95028281,23,0,53,AIS D
7.081730769,5,6.445329008,39,0,54,AIS A
8.244791667,6,6.627522652,32,0,54,AIS B
7.291304348,5,6.630445396,38,0,54,AIS C
4.639593909,4,3.859398261,22,0,54,AIS D
6.491987179,4,6.47850625,38,0,55,AIS A
7.697916667,6,6.721256102,33,0,55,AIS B
6.765217391,4.5,6.600027041,39,0,55,AIS C
4.192893401,3,3.844337242,22,0,55,AIS D
7.065705128,5,6.413056767,38,0,56,AIS A
8.213541667,6,6.645962752,32,0,56,AIS B
7.330434783,5,6.55939839,39,0,56,AIS C
4.700507614,4,3.92748683,23,0,56,AIS D
7.185897436,5,6.485498813,38,0,57,AIS A
8.390625,6,6.70457495,33,0,57,AIS B
7.426086957,5,6.717065368,39,0,57,AIS C
4.756345178,4,3.972035262,22,0,57,AIS D
7.197115385,5,6.494689127,38,0,58,AIS A
8.239583333,6,6.695696503,33,0,58,AIS B
7.391304348,5,6.747725675,39,0,58,AIS C
4.781725888,4,3.997201963,22,0,58,AIS D
7.203525641,5,6.532687564,39,0,59,AIS A
8.270833333,6,6.596808949,33,0,59,AIS B
7.330434783,5,6.646694341,38,0,59,AIS C
4.771573604,4,3.924491916,21,0,59,AIS D
7.213141026,5,6.517866819,40,0,60,AIS A
8.21875,6,6.576498097,33,0,60,AIS B
7.326086957,5,6.582543899,37,0,60,AIS C
4.771573604,4,3.90232846,21,0,60,AIS D
