"","mean","median","sd","max","min","day","ais1"
"79",6.44776119402985,6,3.5983311876545,16,2,19,"AIS B"
"80",6.01428571428571,5,3.81261391235993,16,1,20,"AIS B"
"81",5.85507246376812,5,3.65527564873037,18,1,21,"AIS B"
"82",5.82352941176471,5,3.60323725289004,18,1,22,"AIS B"
"83",6.05882352941176,5,3.90515294076703,20,1,23,"AIS B"
"84",5.55072463768116,5,3.80995689293222,21,1,24,"AIS B"
"85",5.39130434782609,4,3.83949058854682,21,1,25,"AIS B"
"86",5.17647058823529,4,3.89006072342809,23,1,26,"AIS B"
"87",5.35820895522388,4,3.8364341577284,22,1,27,"AIS B"
"88",5.23880597014925,4,3.80625303796985,23,1,28,"AIS B"
"89",5.03030303030303,4,3.67515440583928,21,1,29,"AIS B"
"90",5.13846153846154,4,3.70336385549055,21,1,30,"AIS B"
"91",5.09230769230769,4,3.71535276304231,21,1,31,"AIS B"
"92",4.81818181818182,4,3.59875658402301,20,1,32,"AIS B"
"93",4.46969696969697,3,3.48720605364898,21,1,33,"AIS B"
"94",3.98484848484848,3,2.6223443665335,14,1,34,"AIS B"
"95",4.15625,3,2.61994032405078,14,1,35,"AIS B"
"96",4.08196721311475,4,2.68511379006063,17,1,36,"AIS B"
"97",3.98333333333333,3,2.81335595888832,18,1,37,"AIS B"
"98",3.9344262295082,3,2.30845440687787,10,1,38,"AIS B"
"99",3.84745762711864,3,2.30302319543048,10,1,39,"AIS B"
"100",3.72413793103448,3,2.30782880760308,12,1,40,"AIS B"
"101",3.77966101694915,3,2.57352432848734,14,1,41,"AIS B"
"102",3.67241379310345,3,2.38701113142792,11,1,42,"AIS B"
"103",3.5,3,2.25754096930049,10,1,43,"AIS B"
"104",3.48275862068966,3,2.35633806967689,10,1,44,"AIS B"
"105",3.44827586206897,3,2.47919351482867,12,1,45,"AIS B"
"106",3.34545454545455,3,2.35873617932069,10,1,46,"AIS B"
"107",3.37735849056604,3,2.37961224293064,10,1,47,"AIS B"
"108",3.43396226415094,2,2.55334948918734,9,1,48,"AIS B"
"109",3.25490196078431,2,2.58335547112589,10,1,49,"AIS B"
"110",3.24489795918367,2,2.45399854187761,10,1,50,"AIS B"
"111",3.22222222222222,2,2.34413086131075,10,1,51,"AIS B"
"112",3.06818181818182,2,2.10644335173779,9,1,52,"AIS B"
"113",2.88636363636364,2,1.96736051591394,8,1,53,"AIS B"
"114",2.85714285714286,2,2.04308982374113,9,1,54,"AIS B"
"115",2.95121951219512,2,2.58796463955939,13,1,55,"AIS B"
"116",2.66666666666667,2,1.94201662491045,8,1,56,"AIS B"
"117",2.51515151515152,2,1.97042527327878,8,1,57,"AIS B"
"118",2.59259259259259,2,1.82418072778859,6,1,58,"AIS B"
"119",2.52380952380952,2,1.66189793967763,6,1,59,"AIS B"
"120",2.5625,2.5,1.36473440639562,6,1,60,"AIS B"
"121",4.01818181818182,4,2.30269813094014,10,1,1,"AIS C"
"122",5.08333333333333,5,2.55038289796035,14,1,2,"AIS C"
"123",5.89041095890411,5,3.17343127180101,19,1,3,"AIS C"
"124",6.37931034482759,6,3.1973708068706,19,1,4,"AIS C"
"125",6.62328767123288,6,3.41223035758524,19,1,5,"AIS C"
"126",6.08904109589041,5,3.35676616316382,20,1,6,"AIS C"
"127",6.35172413793103,6,3.27560646310716,19,1,7,"AIS C"
"128",6.29166666666667,5.5,3.37177714549481,19,1,8,"AIS C"
"129",6.26896551724138,6,3.51831551474604,19,1,9,"AIS C"
"130",6.29787234042553,6,3.64249655525097,21,1,10,"AIS C"
"131",6.4468085106383,6,3.72716961152426,20,1,11,"AIS C"
"132",6.31914893617021,6,3.67291077433566,20,1,12,"AIS C"
"133",6.13475177304965,6,3.58213794532983,20,1,13,"AIS C"
"134",6.1231884057971,6,3.70529882666717,23,1,14,"AIS C"
"135",5.94202898550725,6,3.53660341802413,22,1,15,"AIS C"
"136",6.23703703703704,6,3.78569066907237,22,1,16,"AIS C"
"137",5.97761194029851,5.5,3.54236745505365,22,1,17,"AIS C"
"138",5.60902255639098,6,3.29562286950012,22,1,18,"AIS C"
"139",5.56153846153846,5,3.22058265746247,21,1,19,"AIS C"
"140",5.6,5,3.41814583220678,22,1,20,"AIS C"
"141",5.36923076923077,5,3.44871273937622,24,1,21,"AIS C"
"142",5.37984496124031,5,3.33586991664471,24,1,22,"AIS C"
"143",5.23846153846154,5,3.64256457520738,25,1,23,"AIS C"
"144",5.20769230769231,5,3.58657305253646,25,1,24,"AIS C"
"145",5.13953488372093,5,3.42039879355854,25,1,25,"AIS C"
"146",5.05511811023622,5,3.34357257515137,27,1,26,"AIS C"
"147",5.088,5,3.04539843253772,15,1,27,"AIS C"
"148",4.89344262295082,5,2.94805546515093,13,1,28,"AIS C"
"149",4.8099173553719,4,2.86156731409781,13,1,29,"AIS C"
"150",4.81818181818182,4,2.80178514522438,14,1,30,"AIS C"
"151",4.71074380165289,4,2.78818344843892,12,1,31,"AIS C"
"152",4.53781512605042,4,2.8127732740048,14,1,32,"AIS C"
"153",4.41525423728814,4,2.70588554848087,13,1,33,"AIS C"
"154",4.26724137931035,4,2.56517736863043,12,1,34,"AIS C"
"155",4.23214285714286,4,2.70462447762967,14,1,35,"AIS C"
"156",4.1743119266055,4,2.64170272214177,13,1,36,"AIS C"
"157",3.96363636363636,3.5,2.6158559310246,13,1,37,"AIS C"
"158",3.88181818181818,3,2.9544922045628,16,1,38,"AIS C"
"159",3.6605504587156,3,2.56479074117977,13,1,39,"AIS C"
"160",3.61320754716981,3,2.53572852203589,13,1,40,"AIS C"
"161",3.54901960784314,3,2.55485347075668,14,1,41,"AIS C"
"162",3.40594059405941,3,2.4624305790084,14,1,42,"AIS C"
"163",3.28282828282828,3,2.25443057673426,13,1,43,"AIS C"
"164",3.27551020408163,3,2.20019030219529,13,1,44,"AIS C"
"165",3.17021276595745,3,2.27486640454884,13,1,45,"AIS C"
"166",3.22826086956522,3,2.28277477611174,13,1,46,"AIS C"
"167",3.03333333333333,2,2.1901208216633,13,1,47,"AIS C"
"168",2.85714285714286,2,2.01974381528081,12,1,48,"AIS C"
"169",2.82022471910112,2,1.96307850623829,12,1,49,"AIS C"
"170",2.85227272727273,3,1.9507721590998,12,1,50,"AIS C"
"171",2.82758620689655,2,2.01855864159924,12,1,51,"AIS C"
"172",2.7710843373494,2,2.03221194643657,12,1,52,"AIS C"
"173",2.82666666666667,3,1.98897864142279,12,1,53,"AIS C"
"174",2.65753424657534,2,1.88723179170351,12,1,54,"AIS C"
"175",2.56060606060606,2,2.00099043075241,12,1,55,"AIS C"
"176",2.34920634920635,2,1.96056879632425,12,1,56,"AIS C"
"177",2.3,2,2.04442192733035,12,1,57,"AIS C"
"178",2.28301886792453,1,2.13377021409528,12,1,58,"AIS C"
"179",2.28571428571429,1,2.33353340478779,12,1,59,"AIS C"
"180",2.42307692307692,1.5,2.43594871740892,12,1,60,"AIS C"
