"","mean","median","sd","max","min","day","ais1"
"99",4.10169491525424,4,2.61095117596051,13,1,39,"AIS B"
"100",3.94827586206897,3,2.57806138095441,13,1,40,"AIS B"
"101",4,3,2.95366516907968,14,1,41,"AIS B"
"102",3.86206896551724,3,2.67180388411281,11,1,42,"AIS B"
"103",3.68965517241379,3,2.61041703028277,11,1,43,"AIS B"
"104",3.6551724137931,3,2.64609426930196,11,1,44,"AIS B"
"105",3.58620689655172,3,2.66908541243981,12,1,45,"AIS B"
"106",3.54545454545455,3,2.65147186111847,10,1,46,"AIS B"
"107",3.66037735849057,3,2.786943433408,12,1,47,"AIS B"
"108",3.62264150943396,3,2.7331752110682,10,1,48,"AIS B"
"109",3.45098039215686,2,2.83770136194911,11,1,49,"AIS B"
"110",3.38775510204082,2,2.62850025783567,11,1,50,"AIS B"
"111",3.4,3,2.50816847339031,11,1,51,"AIS B"
"112",3.31818181818182,2,2.47567446551371,10,1,52,"AIS B"
"113",3.11363636363636,2,2.19105909498505,9,1,53,"AIS B"
"114",2.97619047619048,2,2.3004569560712,10,1,54,"AIS B"
"115",3.09756097560976,2,2.93942917969442,15,1,55,"AIS B"
"116",2.77777777777778,2,2.09913058344382,8,1,56,"AIS B"
"117",2.63636363636364,2,2.14793770012921,8,1,57,"AIS B"
"118",2.85185185185185,2,2.19621534084475,9,1,58,"AIS B"
"119",2.66666666666667,2,1.85292561462497,7,1,59,"AIS B"
"120",2.75,2.5,1.52752523165195,6,1,60,"AIS B"
"121",4.2,4,2.53706469127345,12,1,1,"AIS C"
"122",5.37121212121212,5,2.8750182290303,16,1,2,"AIS C"
"123",6.32191780821918,5.5,3.67458171489012,22,1,3,"AIS C"
"124",6.91034482758621,6,3.80773562300649,24,1,4,"AIS C"
"125",7.15068493150685,6.5,4.04345783355921,25,1,5,"AIS C"
"126",6.50684931506849,5,3.8743125313958,26,1,6,"AIS C"
"127",6.79310344827586,6,3.91204790026226,26,1,7,"AIS C"
"128",6.70138888888889,6,3.85775009814475,25,1,8,"AIS C"
